region,gps_height_imputed_region
Arusha,1401.1441791044776
Dar es Salaam,31.221945137157107
Dodoma,
Iringa,1697.4420098224405
Kagera,
Kigoma,1235.5621448863637
Kilimanjaro,1180.8915277460608
Lindi,213.4182879377432
Manyara,1426.0777005685406
Mara,1341.625190452006
Mbeya,
Morogoro,405.25066454013825
Mtwara,258.4103009259259
Mwanza,1199.6430517711171
Pwani,83.3355036384527
Rukwa,1404.4612831858408
Ruvuma,903.7405303030303
Shinyanga,1350.9817073170732
Singida,1416.8576206402292
Tabora,
Tanga,667.914800389484
