region,lga,ward,subvillage,gps_height_imputed_subvillage
Arusha,Arusha Rural,Bangata,Engikaleti,1693.0
Arusha,Arusha Rural,Bangata,Gwasei,1529.0
Arusha,Arusha Rural,Bangata,Kwaniche,1469.2
Arusha,Arusha Rural,Bangata,Lobolosi,1636.0
Arusha,Arusha Rural,Bangata,Ndukenyi,1659.0
Arusha,Arusha Rural,Bangata,Ngwasei,1547.5
Arusha,Arusha Rural,Bangata,Sanganani,1425.5
Arusha,Arusha Rural,Bangata,Sangananu,1490.0
Arusha,Arusha Rural,Bwawani,Buluga,954.0
Arusha,Arusha Rural,Bwawani,Bwawani,940.0
Arusha,Arusha Rural,Bwawani,Darajani,1012.0
Arusha,Arusha Rural,Bwawani,Kibaoni,962.1111111111111
Arusha,Arusha Rural,Bwawani,Lamuloki,938.0
Arusha,Arusha Rural,Bwawani,Lemedei,968.0
Arusha,Arusha Rural,Bwawani,Majengo,953.0
Arusha,Arusha Rural,Bwawani,Masaini,988.7142857142857
Arusha,Arusha Rural,Bwawani,Mwandeti,936.75
Arusha,Arusha Rural,Bwawani,Nyamagana,960.25
Arusha,Arusha Rural,Bwawani,Ulangini,978.0
Arusha,Arusha Rural,Ilkiding'a,Huduma,1730.6
Arusha,Arusha Rural,Ilkiding'a,Ieletulele,1575.5
Arusha,Arusha Rural,Ilkiding'a,Ileza,1615.0
Arusha,Arusha Rural,Ilkiding'a,Ilimelili,1816.5
Arusha,Arusha Rural,Ilkiding'a,Ilkisongo Chini,1690.0
Arusha,Arusha Rural,Ilkiding'a,Ilkisongo Juu,1823.0
Arusha,Arusha Rural,Ilkiding'a,Kisongo Juu,1769.0
Arusha,Arusha Rural,Ilkiding'a,Lobulu,1569.8
Arusha,Arusha Rural,Ilkiding'a,Madukani,1759.5
Arusha,Arusha Rural,Ilkiding'a,Masaga,1676.5
Arusha,Arusha Rural,Ilkiding'a,Meduti,1779.0
Arusha,Arusha Rural,Ilkiding'a,Mpakani,1671.75
Arusha,Arusha Rural,Ilkiding'a,Mteriani,1804.0
Arusha,Arusha Rural,Ilkiding'a,Mula,1556.6666666666667
Arusha,Arusha Rural,Ilkiding'a,Munga,1739.6666666666667
Arusha,Arusha Rural,Ilkiding'a,Mwenge,1820.0
Arusha,Arusha Rural,Ilkiding'a,Ndikana,594.0
Arusha,Arusha Rural,Ilkiding'a,Oleiguruno,1652.0
Arusha,Arusha Rural,Ilkiding'a,Olinyidi,1702.8
Arusha,Arusha Rural,Ilkiding'a,Olodonyo,1835.0
Arusha,Arusha Rural,Ilkiding'a,Olumeli,1758.7142857142858
Arusha,Arusha Rural,Ilkiding'a,Olumeri,1739.0
Arusha,Arusha Rural,Ilkiding'a,Sindikala,1598.0
Arusha,Arusha Rural,Kimnyaki,Kaibuku,1570.857142857143
Arusha,Arusha Rural,Kimnyaki,Kitendo,1550.25
Arusha,Arusha Rural,Kimnyaki,Leinevuni,1581.0
Arusha,Arusha Rural,Kimnyaki,Lekako,1619.0
Arusha,Arusha Rural,Kimnyaki,Lendavunye,1603.5
Arusha,Arusha Rural,Kimnyaki,Leparieti,1525.3333333333333
Arusha,Arusha Rural,Kimnyaki,Loibangoti,1592.5
Arusha,Arusha Rural,Kimnyaki,Longido,1519.5
Arusha,Arusha Rural,Kimnyaki,Maina,1656.4
Arusha,Arusha Rural,Kimnyaki,Mebaku,1545.0
Arusha,Arusha Rural,Kimnyaki,Melebuki,1557.8
Arusha,Arusha Rural,Kimnyaki,Mitaloni,1630.0
Arusha,Arusha Rural,Kimnyaki,Moilo,1546.6666666666667
Arusha,Arusha Rural,Kimnyaki,Mringa Msingi,1479.0
Arusha,Arusha Rural,Kimnyaki,Ngaramtoni,1514.3333333333333
Arusha,Arusha Rural,Kimnyaki,Shule,1625.0
Arusha,Arusha Rural,Kimnyaki,Sumlei,1508.923076923077
Arusha,Arusha Rural,Kimnyaki,Uavii,1612.5
Arusha,Arusha Rural,Kimnyaki,Wataalam,1541.5
Arusha,Arusha Rural,Kimnyaki,Yoanes,1508.3333333333333
Arusha,Arusha Rural,Kiranyi,Bondeni,1234.2
