region,lga,ward,gps_height_imputed_ward
Arusha,Arusha Rural,Bangata,1619.1515151515152
Arusha,Arusha Rural,Bwawani,964.5135135135135
Arusha,Arusha Rural,Ilkiding'a,1669.5
Arusha,Arusha Rural,Kimnyaki,1559.0379746835442
Arusha,Arusha Rural,Kiranyi,1388.104347826087
Arusha,Arusha Rural,Kisongo,1368.2121212121212
Arusha,Arusha Rural,Mateves,1358.6818181818182
Arusha,Arusha Rural,Mlangarini,1152.891304347826
Arusha,Arusha Rural,Moivo,1463.9545454545455
Arusha,Arusha Rural,Moshono,1269.2272727272727
Arusha,Arusha Rural,Murieti,1502.0689655172414
Arusha,Arusha Rural,Musa,1588.0689655172414
Arusha,Arusha Rural,Mwandeti,1713.9411764705883
Arusha,Arusha Rural,Nduruma,986.3073170731707
Arusha,Arusha Rural,Oldonyosambu,1784.5324675324675
Arusha,Arusha Rural,Oljoro,1014.875
Arusha,Arusha Rural,Olkokola,1825.9924812030076
Arusha,Arusha Rural,Oltroto,1590.5333333333333
Arusha,Arusha Rural,Oltrumet,1540.4615384615386
Arusha,Arusha Rural,Sokoni II,1525.857142857143
Arusha,Arusha Urban,Baraa,1421.5
Arusha,Arusha Urban,Daraja Mbili,1342.0
Arusha,Arusha Urban,Elerai,1387.5454545454545
Arusha,Arusha Urban,Engutoto,1309.0
Arusha,Arusha Urban,Kaloleni,1424.2
Arusha,Arusha Urban,Kimandolu,1392.0
Arusha,Arusha Urban,Lemara,1271.25
Arusha,Arusha Urban,Levolosi,1411.0
Arusha,Arusha Urban,Ngarenaro,1388.0
Arusha,Arusha Urban,Olorien,1351.75
Arusha,Arusha Urban,Sekei,1420.3333333333333
Arusha,Arusha Urban,Sokon I,1318.0
Arusha,Arusha Urban,Sombetini,1350.5
Arusha,Arusha Urban,Terrat,1214.75
Arusha,Arusha Urban,Themi,1325.0
Arusha,Arusha Urban,Unga Ltd,1366.0
Arusha,Karatu,Barray,1084.75
Arusha,Karatu,Daa,1474.4705882352941
Arusha,Karatu,Endabash,1427.95
Arusha,Karatu,Kansay,1684.0
