region,lga,longitude_imputed_lga
Arusha,Arusha Rural,36.70003413698882
Arusha,Arusha Urban,36.68511036968254
Arusha,Karatu,35.66198480331288
Arusha,Longido,36.69294569483871
Arusha,Meru,36.88355502742319
Arusha,Monduli,36.12086034677248
Arusha,Ngorongoro,35.56724014298507
Dar es Salaam,Ilala,39.14620091839034
Dar es Salaam,Kinondoni,39.130240531935485
Dar es Salaam,Temeke,39.41369148916279
Dodoma,Bahi,35.52731899294643
Dodoma,Chamwino,35.983246825273774
Dodoma,Dodoma Urban,35.81819468086592
Dodoma,Kondoa,35.83393032017209
Dodoma,Kongwa,36.58367560429363
Dodoma,Mpwapwa,36.3869782481701
Iringa,Iringa Rural,35.530825654848904
Iringa,Kilolo,35.9689951277937
Iringa,Ludewa,34.68904165214539
Iringa,Makete,34.15618619404762
Iringa,Mufindi,35.13387180303847
Iringa,Njombe,34.745151541634044
Kagera,Biharamulo,31.32588612635236
Kagera,Bukoba Rural,31.63863283913758
Kagera,Bukoba Urban,31.766106697840907
Kagera,Chato,31.697087573220337
Kagera,Karagwe,30.948419140998706
Kagera,Misenyi,31.542674760653846
Kagera,Muleba,31.58209821818408
Kagera,Ngara,30.647070266307924
Kigoma,Kasulu,30.112106379531998
Kigoma,Kibondo,30.71170207743707
Kigoma,Kigoma Rural,29.863136570157767
Kigoma,Kigoma Urban,29.688753471126763
Kilimanjaro,Hai,37.198283680144
Kilimanjaro,Moshi Rural,37.42641507681055
Kilimanjaro,Moshi Urban,37.34453056658228
Kilimanjaro,Mwanga,37.63621238252408
Kilimanjaro,Rombo,37.612493862053874
Kilimanjaro,Same,37.919187686613455
Kilimanjaro,Siha,37.06252342046083
Lindi,Kilwa,39.18609070260204
Lindi,Lindi Rural,39.51526090703609
Lindi,Lindi Urban,39.63557964952381
Lindi,Liwale,37.99483553344156
Lindi,Nachingwea,38.57295375183333
Lindi,Ruangwa,38.97328430261168
Manyara,Babati,35.66881266054794
Manyara,Hanang,35.4028603800365
Manyara,Kiteto,36.73569320264249
Manyara,Mbulu,35.33066973006734
Manyara,Simanjiro,36.92032399769481
Mara,Bunda,33.72526756974886
Mara,Musoma Rural,33.8764341084596
Mara,Rorya,34.04312059342857
Mara,Serengeti,34.522869345000004
Mara,Tarime,34.42556869789474
Mbeya,Chunya,33.177596357449666
Mbeya,Ileje,33.1903094530303
Mbeya,Kyela,33.87281173461001
Mbeya,Mbarali,34.1857308877476
Mbeya,Mbeya Rural,33.44814065439175
Mbeya,Mbozi,32.86791959389749
Mbeya,Rungwe,33.7196885674141
Morogoro,Kilombero,36.58656103635037
Morogoro,Kilosa,37.03378360379342
Morogoro,Morogoro Rural,37.869668077811895
Morogoro,Morogoro Urban,37.66109692635417
Morogoro,Mvomero,37.53589480502235
Morogoro,Ulanga,36.4996920083609
Mtwara,Masasi,38.95732966323864
Mtwara,Mtwara Rural,40.00446472631205
Mtwara,Mtwara Urban,40.1592437558871
Mtwara,Nanyumbu,38.457868581329116
Mtwara,Newala,39.304312862034635
Mtwara,Tandahimba,39.591099057593986
Mwanza,Geita,
Mwanza,Ilemela,33.02593255957746
Mwanza,Kwimba,33.333295400622006
Mwanza,Magu,33.282024008277226
Mwanza,Missungwi,33.0359013041954
Mwanza,Nyamagana,32.86327083
Mwanza,Sengerema,32.52084462773414
Mwanza,Ukerewe,33.00381986398827
Pwani,Bagamoyo,38.60518596609829
Pwani,Kibaha,38.835421388736066
Pwani,Kisarawe,38.81482631103139
Pwani,Mafia,39.73323372757576
Pwani,Mkuranga,39.20946916578571
Pwani,Rufiji,38.8812320743392
Rukwa,Mpanda,31.002028675994108
Rukwa,Nkasi,31.062593552827103
Rukwa,Sumbawanga Rural,31.72174867790787
Rukwa,Sumbawanga Urban,31.610957975722222
Ruvuma,Mbinga,34.88334926794667
Ruvuma,Namtumbo,36.01824504775216
Ruvuma,Songea Rural,35.456185944660895
Ruvuma,Songea Urban,35.640724725
Ruvuma,Tunduru,37.21937084243499
Shinyanga,Bariadi,34.179475708779066
Shinyanga,Bukombe,32.01771769902724
Shinyanga,Kahama,32.496368357739236
Shinyanga,Kishapu,33.684537034887214
Shinyanga,Maswa,33.78232739611867
Shinyanga,Meatu,34.272071902628205
Shinyanga,Shinyanga Rural,33.148278369387754
Shinyanga,Shinyanga Urban,33.46842369910995
Singida,Iramba,34.539153181525734
Singida,Manyoni,34.80744790018567
Singida,Singida Rural,34.829073263447235
Singida,Singida Urban,34.73468581819209
Tabora,Igunga,33.60328269786982
Tabora,Nzega,33.01840134770435
Tabora,Sikonge,32.90671079705883
Tabora,Tabora Urban,32.79338400567742
Tabora,Urambo,32.10616691939791
Tabora,Uyui,32.83056381804734
Tanga,Handeni,38.329526636850396
Tanga,Kilindi,37.449877484968944
Tanga,Korogwe,38.40138412985437
Tanga,Lushoto,38.32844309037464
Tanga,Mkinga,38.908932543333336
Tanga,Muheza,38.78811569676647
Tanga,Pangani,38.89680074606557
Tanga,Tanga,39.041458074848485
