region,longitude_imputed_region
Arusha,36.55271337344179
Dar es Salaam,39.21579862867081
Dodoma,36.044170744856885
Iringa,34.89598882068002
Kagera,31.23326189554282
Kigoma,30.2146765004652
Kilimanjaro,37.50510820328157
Lindi,38.99711027797542
Manyara,35.93291503657612
Mara,34.15394044489588
Mbeya,33.531504774080624
Morogoro,37.04590970284823
Mtwara,39.3976744066185
Mwanza,33.09156419778649
Pwani,38.87892750503226
Rukwa,31.284386619706858
Ruvuma,35.72930405988637
Shinyanga,33.24012071028917
Singida,34.74184160347348
Tabora,32.88145659698672
Tanga,38.506506320855905
