region,lga,ward,subvillage,longitude_imputed_subvillage
Arusha,Arusha Rural,Bangata,Engikaleti,36.740539198421054
Arusha,Arusha Rural,Bangata,Gwasei,36.74984305
Arusha,Arusha Rural,Bangata,Kwaniche,36.749772568
Arusha,Arusha Rural,Bangata,Lobolosi,36.74299691
Arusha,Arusha Rural,Bangata,Ndukenyi,36.74799143
Arusha,Arusha Rural,Bangata,Ngwasei,36.74684545
Arusha,Arusha Rural,Bangata,Sanganani,36.746435285000004
Arusha,Arusha Rural,Bangata,Sangananu,36.74407789
Arusha,Arusha Rural,Bwawani,Buluga,36.84118035
Arusha,Arusha Rural,Bwawani,Bwawani,36.84093411333333
Arusha,Arusha Rural,Bwawani,Darajani,36.781100325
Arusha,Arusha Rural,Bwawani,Kibaoni,36.82690970666667
Arusha,Arusha Rural,Bwawani,Lamuloki,36.83425706
Arusha,Arusha Rural,Bwawani,Lemedei,36.780400815
Arusha,Arusha Rural,Bwawani,Majengo,36.83390719
Arusha,Arusha Rural,Bwawani,Masaini,36.779160874285715
Arusha,Arusha Rural,Bwawani,Mwandeti,36.8386595125
Arusha,Arusha Rural,Bwawani,Nyamagana,36.7859873975
Arusha,Arusha Rural,Bwawani,Ulangini,36.794172270000004
Arusha,Arusha Rural,Ilkiding'a,Huduma,36.670527936
Arusha,Arusha Rural,Ilkiding'a,Ieletulele,36.690441229
Arusha,Arusha Rural,Ilkiding'a,Ileza,36.68507554
Arusha,Arusha Rural,Ilkiding'a,Ilimelili,36.704629912499996
Arusha,Arusha Rural,Ilkiding'a,Ilkisongo Chini,36.694620572000005
Arusha,Arusha Rural,Ilkiding'a,Ilkisongo Juu,36.70021551
Arusha,Arusha Rural,Ilkiding'a,Kisongo Juu,36.69857523
Arusha,Arusha Rural,Ilkiding'a,Lobulu,36.684181898000006
Arusha,Arusha Rural,Ilkiding'a,Madukani,36.6760632875
Arusha,Arusha Rural,Ilkiding'a,Masaga,36.6825808075
Arusha,Arusha Rural,Ilkiding'a,Meduti,36.68431136
