region,lga,population_imputed_lga
Arusha,Arusha Rural,201.55750798722045
Arusha,Arusha Urban,909.758064516129
Arusha,Karatu,422.11042944785277
Arusha,Longido,571.5967741935484
Arusha,Meru,204.85827552031714
Arusha,Monduli,1.0
Arusha,Ngorongoro,239.06467661691542
Dar es Salaam,Ilala,205.57142857142858
Dar es Salaam,Kinondoni,772.8387096774194
Dar es Salaam,Temeke,92.26046511627906
Dodoma,Bahi,
Dodoma,Chamwino,
Dodoma,Dodoma Urban,
Dodoma,Kondoa,
Dodoma,Kongwa,
Dodoma,Mpwapwa,
Iringa,Iringa Rural,206.10714285714286
Iringa,Kilolo,195.6160458452722
Iringa,Ludewa,117.60892857142858
Iringa,Makete,
Iringa,Mufindi,
Iringa,Njombe,86.26955475330927
Kagera,Biharamulo,
Kagera,Bukoba Rural,
Kagera,Bukoba Urban,
Kagera,Chato,
Kagera,Karagwe,
Kagera,Misenyi,
Kagera,Muleba,
Kagera,Ngara,
Kigoma,Kasulu,670.010506208214
Kigoma,Kibondo,351.4199084668192
Kigoma,Kigoma Rural,405.21844660194176
Kigoma,Kigoma Urban,1653.475
Kilimanjaro,Hai,152.2192
Kilimanjaro,Moshi Rural,55.69304556354916
Kilimanjaro,Moshi Urban,21.354430379746834
Kilimanjaro,Mwanga,212.39884393063585
Kilimanjaro,Rombo,12.045454545454545
Kilimanjaro,Same,203.81984036488026
Kilimanjaro,Siha,1.0
Lindi,Kilwa,334.21938775510205
Lindi,Lindi Rural,247.60309278350516
Lindi,Lindi Urban,673.8571428571429
Lindi,Liwale,328.8636363636364
Lindi,Nachingwea,346.1166666666667
Lindi,Ruangwa,576.1340206185567
Manyara,Babati,285.174168297456
Manyara,Hanang,465.1459854014599
Manyara,Kiteto,510.61139896373055
Manyara,Mbulu,211.54882154882154
Manyara,Simanjiro,222.37337662337663
Mara,Bunda,454.4908675799087
Mara,Musoma Rural,335.07070707070704
Mara,Rorya,674.0095238095238
Mara,Serengeti,635.0516759776536
Mara,Tarime,635.8468899521531
Mbeya,Chunya,
Mbeya,Ileje,
Mbeya,Kyela,
Mbeya,Mbarali,
Mbeya,Mbeya Rural,
Mbeya,Mbozi,
Mbeya,Rungwe,
Morogoro,Kilombero,356.126173096976
Morogoro,Kilosa,292.782449725777
Morogoro,Morogoro Rural,327.1957773512476
Morogoro,Morogoro Urban,229.60416666666666
Morogoro,Mvomero,71.65126676602087
Morogoro,Ulanga,237.10075187969926
Mtwara,Masasi,89.33901515151516
Mtwara,Mtwara Rural,487.6241134751773
Mtwara,Mtwara Urban,369.6290322580645
Mtwara,Nanyumbu,75.33544303797468
Mtwara,Newala,434.965367965368
Mtwara,Tandahimba,191.81954887218046
Mwanza,Geita,
Mwanza,Ilemela,860.7692307692307
Mwanza,Kwimba,
Mwanza,Magu,
Mwanza,Missungwi,
Mwanza,Nyamagana,
Mwanza,Sengerema,
Mwanza,Ukerewe,528.5337243401759
Pwani,Bagamoyo,193.21865596790371
Pwani,Kibaha,188.95910780669146
Pwani,Kisarawe,398.50224215246635
Pwani,Mafia,237.24242424242425
Pwani,Mkuranga,914.3946428571429
Pwani,Rufiji,99.7439293598234
Rukwa,Mpanda,357.5154639175258
Rukwa,Nkasi,165.46728971962617
Rukwa,Sumbawanga Rural,304.3147792706334
Rukwa,Sumbawanga Urban,1422.842105263158
Ruvuma,Mbinga,94.23066666666666
Ruvuma,Namtumbo,338.5345821325648
Ruvuma,Songea Rural,552.8235294117648
Ruvuma,Songea Urban,1852.5882352941176
Ruvuma,Tunduru,15.222222222222221
Shinyanga,Bariadi,428.359756097561
Shinyanga,Bukombe,
Shinyanga,Kahama,
Shinyanga,Kishapu,
Shinyanga,Maswa,
Shinyanga,Meatu,
Shinyanga,Shinyanga Rural,
Shinyanga,Shinyanga Urban,
Singida,Iramba,332.37683823529414
Singida,Manyoni,739.9389920424403
Singida,Singida Rural,112.71802618328299
Singida,Singida Urban,70.64406779661017
Tabora,Igunga,
Tabora,Nzega,
Tabora,Sikonge,
Tabora,Tabora Urban,
Tabora,Urambo,
Tabora,Uyui,
Tanga,Handeni,433.33858267716533
Tanga,Kilindi,515.2422360248447
Tanga,Korogwe,326.4514563106796
Tanga,Lushoto,1.3587896253602305
Tanga,Mkinga,240.03472222222223
Tanga,Muheza,390.00898203592817
Tanga,Pangani,270.4360655737705
Tanga,Tanga,183.26262626262627
