region,lga,ward,subvillage,population_imputed_subvillage
Arusha,Arusha Rural,Bangata,Engikaleti,200.0
Arusha,Arusha Rural,Bangata,Gwasei,200.0
Arusha,Arusha Rural,Bangata,Kwaniche,200.0
Arusha,Arusha Rural,Bangata,Lobolosi,200.0
Arusha,Arusha Rural,Bangata,Ndukenyi,200.0
Arusha,Arusha Rural,Bangata,Ngwasei,200.0
Arusha,Arusha Rural,Bangata,Sanganani,200.0
Arusha,Arusha Rural,Bangata,Sangananu,200.0
Arusha,Arusha Rural,Bwawani,Buluga,2000.0
Arusha,Arusha Rural,Bwawani,Bwawani,300.0
Arusha,Arusha Rural,Bwawani,Darajani,200.0
Arusha,Arusha Rural,Bwawani,Kibaoni,300.0
Arusha,Arusha Rural,Bwawani,Lamuloki,300.0
Arusha,Arusha Rural,Bwawani,Lemedei,300.0
Arusha,Arusha Rural,Bwawani,Majengo,300.0
Arusha,Arusha Rural,Bwawani,Masaini,200.0
Arusha,Arusha Rural,Bwawani,Mwandeti,300.0
Arusha,Arusha Rural,Bwawani,Nyamagana,275.0
Arusha,Arusha Rural,Bwawani,Ulangini,850.0
Arusha,Arusha Rural,Ilkiding'a,Huduma,200.0
Arusha,Arusha Rural,Ilkiding'a,Ieletulele,200.0
Arusha,Arusha Rural,Ilkiding'a,Ileza,200.0
Arusha,Arusha Rural,Ilkiding'a,Ilimelili,200.0
Arusha,Arusha Rural,Ilkiding'a,Ilkisongo Chini,200.0
Arusha,Arusha Rural,Ilkiding'a,Ilkisongo Juu,200.0
Arusha,Arusha Rural,Ilkiding'a,Kisongo Juu,200.0
Arusha,Arusha Rural,Ilkiding'a,Lobulu,200.0
Arusha,Arusha Rural,Ilkiding'a,Madukani,200.0
Arusha,Arusha Rural,Ilkiding'a,Masaga,200.0
Arusha,Arusha Rural,Ilkiding'a,Meduti,200.0
Arusha,Arusha Rural,Ilkiding'a,Mpakani,200.0
Arusha,Arusha Rural,Ilkiding'a,Mteriani,200.0
Arusha,Arusha Rural,Ilkiding'a,Mula,200.0
Arusha,Arusha Rural,Ilkiding'a,Munga,200.0
Arusha,Arusha Rural,Ilkiding'a,Mwenge,200.0
Arusha,Arusha Rural,Ilkiding'a,Ndikana,200.0
Arusha,Arusha Rural,Ilkiding'a,Oleiguruno,209.0909090909091
Arusha,Arusha Rural,Ilkiding'a,Olinyidi,200.0
Arusha,Arusha Rural,Ilkiding'a,Olodonyo,200.0
Arusha,Arusha Rural,Ilkiding'a,Olumeli,200.0
Arusha,Arusha Rural,Ilkiding'a,Olumeri,200.0
Arusha,Arusha Rural,Ilkiding'a,Sindikala,200.0
Arusha,Arusha Rural,Kimnyaki,Kaibuku,207.14285714285714
Arusha,Arusha Rural,Kimnyaki,Kitendo,275.0
Arusha,Arusha Rural,Kimnyaki,Leinevuni,300.0
Arusha,Arusha Rural,Kimnyaki,Lekako,300.0
Arusha,Arusha Rural,Kimnyaki,Lendavunye,300.0
Arusha,Arusha Rural,Kimnyaki,Leparieti,150.0
Arusha,Arusha Rural,Kimnyaki,Loibangoti,150.0
Arusha,Arusha Rural,Kimnyaki,Longido,150.0
Arusha,Arusha Rural,Kimnyaki,Maina,200.0
Arusha,Arusha Rural,Kimnyaki,Mebaku,150.0
Arusha,Arusha Rural,Kimnyaki,Melebuki,150.0
Arusha,Arusha Rural,Kimnyaki,Mitaloni,300.0
Arusha,Arusha Rural,Kimnyaki,Moilo,133.66666666666666
Arusha,Arusha Rural,Kimnyaki,Mringa Msingi,150.0
Arusha,Arusha Rural,Kimnyaki,Ngaramtoni,150.0
Arusha,Arusha Rural,Kimnyaki,Shule,300.0
Arusha,Arusha Rural,Kimnyaki,Sumlei,150.0
Arusha,Arusha Rural,Kimnyaki,Uavii,300.0
Arusha,Arusha Rural,Kimnyaki,Wataalam,300.0
Arusha,Arusha Rural,Kimnyaki,Yoanes,266.6666666666667
Arusha,Arusha Rural,Kiranyi,Bondeni,150.0
Arusha,Arusha Rural,Kiranyi,Burka,1.0
Arusha,Arusha Rural,Kiranyi,Endeves,150.0
Arusha,Arusha Rural,Kiranyi,Ilimitongo,150.0
Arusha,Arusha Rural,Kiranyi,Inyuata,200.0
Arusha,Arusha Rural,Kiranyi,Kibori,200.0
Arusha,Arusha Rural,Kiranyi,Kigongoni,150.0
Arusha,Arusha Rural,Kiranyi,Leparieti,150.0
Arusha,Arusha Rural,Kiranyi,Longolu,150.0
Arusha,Arusha Rural,Kiranyi,Moikani,200.0
Arusha,Arusha Rural,Kiranyi,Mringa Msingi,150.0
Arusha,Arusha Rural,Kiranyi,Mringa Sekondari,160.71428571428572
Arusha,Arusha Rural,Kiranyi,Mutishu,150.0
Arusha,Arusha Rural,Kiranyi,Natema,150.0
Arusha,Arusha Rural,Kiranyi,Ndoivo,200.0
Arusha,Arusha Rural,Kiranyi,Ngwramu,200.0
Arusha,Arusha Rural,Kiranyi,Olorien,200.0
Arusha,Arusha Rural,Kiranyi,Sabore,200.0
Arusha,Arusha Rural,Kiranyi,Saborien,200.0
Arusha,Arusha Rural,Kiranyi,Sakei,200.0
Arusha,Arusha Rural,Kiranyi,School,1.0
Arusha,Arusha Rural,Kiranyi,Soine,200.0
Arusha,Arusha Rural,Kiranyi,Tanaka,200.0
Arusha,Arusha Rural,Kiranyi,Voole,150.0
Arusha,Arusha Rural,Kisongo,Engorora Kati,200.0
Arusha,Arusha Rural,Kisongo,Longululu,128.57142857142858
Arusha,Arusha Rural,Kisongo,Longuluyo,200.0
